match_no,group_name,kickoff_at,home_team,away_team
1,A,2026-06-11T21:00:00+02:00,Mexiko,Sydafrika
2,A,2026-06-12T04:00:00+02:00,Sydkorea,Tjeckien
3,B,2026-06-12T21:00:00+02:00,Kanada,Bosnien och Hercegovina
4,D,2026-06-13T03:00:00+02:00,USA,Paraguay
5,B,2026-06-13T21:00:00+02:00,Qatar,Schweiz
6,C,2026-06-14T00:00:00+02:00,Brasilien,Marocko
7,C,2026-06-14T03:00:00+02:00,Haiti,Skottland
8,D,2026-06-14T06:00:00+02:00,Australien,Turkiet
9,E,2026-06-14T19:00:00+02:00,Tyskland,Curaçao
10,F,2026-06-14T22:00:00+02:00,Nederländerna,Japan
11,E,2026-06-15T01:00:00+02:00,Elfenbenskusten,Ecuador
12,F,2026-06-15T04:00:00+02:00,Sverige,Tunisien
13,H,2026-06-15T18:00:00+02:00,Spanien,Kap Verde
14,G,2026-06-15T21:00:00+02:00,Belgien,Egypten
15,H,2026-06-16T00:00:00+02:00,Saudiarabien,Uruguay
16,G,2026-06-16T03:00:00+02:00,Iran,Nya Zeeland
17,I,2026-06-16T21:00:00+02:00,Frankrike,Senegal
18,I,2026-06-17T00:00:00+02:00,Irak,Norge
19,J,2026-06-17T03:00:00+02:00,Argentina,Algeriet
20,J,2026-06-17T06:00:00+02:00,Österrike,Jordanien
21,K,2026-06-17T19:00:00+02:00,Portugal,DR Kongo
22,L,2026-06-17T22:00:00+02:00,England,Kroatien
23,L,2026-06-18T01:00:00+02:00,Ghana,Panama
24,K,2026-06-18T04:00:00+02:00,Uzbekistan,Colombia
25,A,2026-06-18T18:00:00+02:00,Tjeckien,Sydafrika
26,B,2026-06-18T21:00:00+02:00,Schweiz,Bosnien och Hercegovina
27,B,2026-06-19T00:00:00+02:00,Kanada,Qatar
28,A,2026-06-19T03:00:00+02:00,Mexiko,Sydkorea
29,D,2026-06-19T21:00:00+02:00,USA,Australien
30,C,2026-06-20T00:00:00+02:00,Skottland,Marocko
31,C,2026-06-20T02:30:00+02:00,Brasilien,Haiti
32,D,2026-06-20T05:00:00+02:00,Turkiet,Paraguay
33,F,2026-06-20T19:00:00+02:00,Nederländerna,Sverige
34,E,2026-06-20T22:00:00+02:00,Tyskland,Elfenbenskusten
35,E,2026-06-21T02:00:00+02:00,Ecuador,Curaçao
36,F,2026-06-21T06:00:00+02:00,Tunisien,Japan
37,H,2026-06-21T18:00:00+02:00,Spanien,Saudiarabien
38,G,2026-06-21T21:00:00+02:00,Belgien,Iran
39,H,2026-06-22T00:00:00+02:00,Uruguay,Kap Verde
40,G,2026-06-22T03:00:00+02:00,Nya Zeeland,Egypten
41,J,2026-06-22T19:00:00+02:00,Argentina,Österrike
42,I,2026-06-22T23:00:00+02:00,Frankrike,Irak
43,I,2026-06-23T02:00:00+02:00,Norge,Senegal
44,J,2026-06-23T05:00:00+02:00,Jordanien,Algeriet
45,K,2026-06-23T19:00:00+02:00,Portugal,Uzbekistan
46,L,2026-06-23T22:00:00+02:00,England,Ghana
47,L,2026-06-24T01:00:00+02:00,Panama,Kroatien
48,K,2026-06-24T04:00:00+02:00,Colombia,DR Kongo
49,B,2026-06-24T21:00:00+02:00,Schweiz,Kanada
50,B,2026-06-24T21:00:00+02:00,Bosnien och Hercegovina,Qatar
51,C,2026-06-25T00:00:00+02:00,Skottland,Brasilien
52,C,2026-06-25T00:00:00+02:00,Marocko,Haiti
53,A,2026-06-25T03:00:00+02:00,Tjeckien,Mexiko
54,A,2026-06-25T03:00:00+02:00,Sydafrika,Sydkorea
55,E,2026-06-25T22:00:00+02:00,Curaçao,Elfenbenskusten
56,E,2026-06-25T22:00:00+02:00,Ecuador,Tyskland
57,F,2026-06-26T01:00:00+02:00,Japan,Sverige
58,F,2026-06-26T01:00:00+02:00,Tunisien,Nederländerna
59,D,2026-06-26T04:00:00+02:00,Turkiet,USA
60,D,2026-06-26T04:00:00+02:00,Paraguay,Australien
61,I,2026-06-26T21:00:00+02:00,Norge,Frankrike
62,I,2026-06-26T21:00:00+02:00,Senegal,Irak
63,H,2026-06-27T02:00:00+02:00,Kap Verde,Saudiarabien
64,H,2026-06-27T02:00:00+02:00,Uruguay,Spanien
65,G,2026-06-27T05:00:00+02:00,Egypten,Iran
66,G,2026-06-27T05:00:00+02:00,Nya Zeeland,Belgien
67,L,2026-06-27T23:00:00+02:00,Panama,England
68,L,2026-06-27T23:00:00+02:00,Kroatien,Ghana
69,K,2026-06-28T01:30:00+02:00,Colombia,Portugal
70,K,2026-06-28T01:30:00+02:00,DR Kongo,Uzbekistan
71,J,2026-06-28T04:00:00+02:00,Algeriet,Österrike
72,J,2026-06-28T04:00:00+02:00,Jordanien,Argentina
